disasterNumber,totalNumberIaApproved,totalAmountIhpApproved,totalAmountHaApproved,totalAmountOnaApproved,totalObligatedAmountPa,totalObligatedAmountCatAb,totalObligatedAmountCatC2g,paLoadDate,iaLoadDate,totalObligatedAmountHmgp,hash,lastRefresh,id
4022,3640,23207247.52,21623111.95,1584135.57,216779434.4,34683727.73,175197818.53,2024-11-09T00:00:00.000Z,2024-11-09T00:00:00.000Z,25843880.95,95d3cb38a77dc5a499f085bf8b8c4a254f49883b,2024-11-09T08:49:42.136Z,9ccf95b8-4c64-4106-bfe9-3e76d1724169
4023,2878,9496114.46,8829702.19,666412.27,43805958.98,24539129.57,17617505.41,2024-11-09T00:00:00.000Z,2024-11-09T00:00:00.000Z,7392909.62,cc7c25dacf57d83d70d2849e26544bd7730697c2,2024-11-09T08:49:42.136Z,70c861b5-e144-47ec-8b8f-7a5d4013cb2b
4025,18273,41528546.57,37917812.34,3610734.23,25638857.47,5492078.13,19424384.82,2024-11-09T00:00:00.000Z,2024-11-09T00:00:00.000Z,9303493,18d54471e7090dc784ed444d577d00d4b339dea9,2024-11-09T08:49:42.136Z,195f6dd7-f5f1-456f-9a49-fb61aae5ed43
4026,226,1262644.95,1137683.84,124961.11,17861260.9,1725548.52,15992001.44,2024-11-09T00:00:00.000Z,2024-11-09T00:00:00.000Z,1798709,dda72984603ac4d6a377b1ea77504191d4bec0d5,2024-11-09T08:49:42.136Z,36394922-04f4-41fa-8f46-a1684af68ae9
4028,695,5559369.2,5303982.24,255386.96,30463593.38,7974821.48,22317028.9,2024-11-09T00:00:00.000Z,2024-11-09T00:00:00.000Z,5152535.93,19a7f6b3576b3f03ee738d3bbb2ee723533d0354,2024-11-09T08:49:42.136Z,f21e90a6-6d24-43a4-b18d-092415ff2b32
4029,1012,14263187,11522577.32,2740609.68,46820167.2,38788798.48,5645747,2024-11-09T00:00:00.000Z,2024-11-09T00:00:00.000Z,11865026.97,c7904dcee23e1ac552551f06e6d1ad8438a103f3,2024-11-09T08:49:42.136Z,2bc92792-41f6-4b05-ab84-3e4f785ce9e4
4030,25401,103504091.89,93779140.15,9724951.74,148024629.35,23010375.05,122573815.22,2024-11-09T00:00:00.000Z,2024-11-09T00:00:00.000Z,32923328.7,ecefe9e539ebe33ced659e72e6b8d0dba996a57e,2024-11-09T08:49:42.136Z,08d1591c-b293-446b-b8a2-9313bdb38632
4031,10230,55138473.82,49047945.56,6090528.26,320422176.95,39203988.26,276323764.39,2024-11-09T00:00:00.000Z,2024-11-09T00:00:00.000Z,26418205.34,00feb522c20e062bbb45cde99846edbb07f66348,2024-11-09T08:49:42.136Z,47dff0a0-3244-463b-afb3-f9fb9bf0d127
4040,1718,1335491.28,511993.98,823497.3,,,,,2024-11-09T00:00:00.000Z,86362,5af83f2ccc2bc5211f7fcde8dfcbb0df34c4d763,2024-11-09T08:49:42.136Z,8c4f3449-c9f4-4b65-97d9-7b57d354c0ac
4042,6416,16621823.6,16561667.23,60156.37,43550470.92,6275158.24,36377833.1,2024-11-09T00:00:00.000Z,2024-11-09T00:00:00.000Z,6056785.3,292a759cc0304717eddb1c5b7052887011fffdf6,2024-11-09T08:49:42.136Z,0c551623-ca05-496f-887e-b29e64a120b9
4052,266,942962.56,772152.24,170810.32,,,,,2024-11-09T00:00:00.000Z,146221,c5f63ea97e52ac9d06f3ae1a8aca405e3a11d300,2024-11-09T08:49:42.136Z,cdddcef8-66f6-4e90-a691-c9407895d60e
4057,1736,10409047.22,8338020.41,2071026.81,14924163.49,8524322.9,6022595.23,2024-11-09T00:00:00.000Z,2024-11-09T00:00:00.000Z,3068640.41,621c415de298adfdb3dfa981736807953c824e41,2024-11-09T08:49:42.136Z,5cc821fa-14d8-4e54-b1b4-aa988d4397c2
4058,284,1727998.34,1351977.81,376020.53,4896874.71,2736682.82,2000834.89,2024-11-09T00:00:00.000Z,2024-11-09T00:00:00.000Z,533707.11,ccb9d81fb5838c338f99b00b0b4fd0deaa858742,2024-11-09T08:49:42.136Z,c510e743-e54d-4596-ac2a-dc0e2a5d9440
4059,663,2455408.1,2267219.55,188188.55,6904030.53,1196316.38,5662210.15,2024-11-09T00:00:00.000Z,2024-11-09T00:00:00.000Z,915156,bb137eae3e1bacd6eb1cd5638c69d1c5f9a6e567,2024-11-09T08:49:42.136Z,f7a77266-eca3-40c4-90e8-81c16677daff
4060,187,1042290.55,810073.94,232216.61,,,,,2024-11-09T00:00:00.000Z,0,02dffeba485b6937265bf1a135a5b8ca30aa3653,2024-11-09T08:49:42.136Z,0bfbf4f4-e821-434a-bb4b-dc83c40d3457
4061,505,2522604.92,2267734.49,254870.43,3974478.97,1522105.19,2420589.78,2024-11-09T00:00:00.000Z,2024-11-09T00:00:00.000Z,569670,d8a8d9a68945b961deebddd7a06e5b4eafc2d920,2024-11-09T08:49:42.136Z,e7cbb3ec-77ce-4b0c-8c6d-fe9e969eaa4d
4068,6757,27791929.44,24637879.91,3154049.53,48804232.16,8710912.1,34737383.01,2024-11-09T00:00:00.000Z,2024-11-09T00:00:00.000Z,13695681.4,cd1fdb7655ec1ebd7fd0eb8fe7c27696734b7be2,2024-11-09T08:49:42.136Z,0b0bf001-0439-4f88-89a5-742e27db32df
