declarationRequestNumber,region,stateAbbreviation,state,tribalRequest,declarationRequestDate,declarationRequestType,incidentName,requestedIncidentTypes,requestedIncidentBeginDate,requestedIncidentEndDate,currentRequestStatus,requestStatusDate,ihProgramRequested,iaProgramRequested,paProgramRequested,hmProgramRequested,incidentId,incidentBeginDate,id
13093,9,AZ,Arizona                       ,0,2013-10-10T00:00:00.000Z,Major Disaster,Flooding,Flood,2013-09-13T00:00:00.000Z,2013-09-17T00:00:00.000Z,Turndown,2013-11-01T00:00:00.000Z,0,0,1,1,2013102403,2013-09-13T00:00:00.000Z,81829793-9dba-4d82-8e88-d1d119172676
13099,5,IN,Indiana                       ,0,2013-12-04T00:00:00.000Z,Major Disaster,"Severe Storms, Straight-line Winds, and Tornadoes",Severe Storm,2013-11-17T00:00:00.000Z,2013-11-17T00:00:00.000Z,Turndown,2014-01-07T00:00:00.000Z,1,0,0,1,2013111702,2013-11-17T00:00:00.000Z,2109503c-208f-4c2a-a978-b997a57eac6e
14007,6,TX,Texas                         ,0,2014-01-17T00:00:00.000Z,Major Disaster,Severe Winter Storm,Severe Storm,2013-12-05T00:00:00.000Z,2013-12-09T00:00:00.000Z,Turndown,2014-04-15T00:00:00.000Z,0,0,1,1,2014012202,2013-12-05T00:00:00.000Z,3790cabf-db4c-4cec-9bfc-cf5df37ec9bb
14012,1,CT,Connecticut                   ,0,2014-02-14T00:00:00.000Z,Emergency,Region 1  2-13-2014 Severe Winter Storm ,Severe Storm,2014-02-13T00:00:00.000Z,2014-02-17T00:00:00.000Z,Turndown,2014-02-17T00:00:00.000Z,0,0,1,0,2014021501,2014-02-13T00:00:00.000Z,ef7d8b0e-c7af-46c3-ab50-a8e4dad3e150
14017,1,ME,Maine                         ,0,2014-02-21T00:00:00.000Z,Major Disaster,Severe Winter Storms,Severe Ice Storm,2013-12-20T00:00:00.000Z,2014-01-01T00:00:00.000Z,Turndown,2014-03-12T00:00:00.000Z,0,0,1,1,2013122601,2013-12-20T00:00:00.000Z,e1b18b46-ea05-4275-9385-231f9c3c8073
14018,3,WV,West Virginia                 ,0,2014-03-21T00:00:00.000Z,Major Disaster,Chemical Spill,Chemical,2014-01-09T00:00:00.000Z,2014-01-20T00:00:00.000Z,Turndown,2014-05-20T00:00:00.000Z,0,0,1,1,2014011002,2014-01-09T00:00:00.000Z,a898744c-58f7-463d-8aa9-05ce9e0a9d17
14031,4,NC,North Carolina                ,0,2014-05-02T00:00:00.000Z,Major Disaster,"Severe Storms, Tornadoes, Straight-line Winds, and",Severe Storm,2014-04-25T00:00:00.000Z,2014-04-26T00:00:00.000Z,Turndown,2014-05-09T00:00:00.000Z,1,0,0,1,2014042501,2014-04-28T00:00:00.000Z,6b65271a-395a-4461-9fde-af6164dce61f
14037,1,NH,New Hampshire                 ,0,2014-05-21T00:00:00.000Z,Major Disaster,Severe Storms and Flooding,Flood,2014-04-15T00:00:00.000Z,2014-04-16T00:00:00.000Z,Turndown,2014-07-17T00:00:00.000Z,0,0,1,1,2014041501,2014-04-15T00:00:00.000Z,7c713e7e-da0d-4c84-90e7-06927ef29ec1
14047,8,SD,South Dakota                  ,0,2014-07-02T00:00:00.000Z,Major Disaster,"Severe Storms, Tornadoes, and Flooding",Flood,2014-06-13T00:00:00.000Z,2014-06-20T00:00:00.000Z,Turndown,2014-07-10T00:00:00.000Z,1,0,0,1,2014061801,2014-06-13T00:00:00.000Z,0b474f3c-3618-4c57-801b-08ff2269001b
14056,5,WI,Wisconsin                     ,0,2014-07-23T00:00:00.000Z,Major Disaster,Extreme Cold and Deep Freeze,Freezing,2014-01-01T00:00:00.000Z,2014-04-07T00:00:00.000Z,Turndown,2014-09-04T00:00:00.000Z,0,0,1,1,2014072202,2014-01-01T00:00:00.000Z,09070be6-ba18-4f39-ae03-3f02f5c7ed97
14075,9,HI,Hawaii                        ,0,2014-08-21T00:00:00.000Z,Major Disaster,Tropical Storm Iselle,Hurricane,2014-08-07T00:00:00.000Z,2014-08-09T00:00:00.000Z,Turndown,2014-10-16T00:00:00.000Z,1,0,1,1,2014080402,2014-08-07T00:00:00.000Z,4e5888d6-a206-48e9-a315-418a14b371b4
14085,1,VT,Vermont                       ,0,2014-09-04T00:00:00.000Z,Major Disaster,Region I 7-28-2014 Severe Storms and Flooding,Flood,2014-07-28T00:00:00.000Z,2014-07-28T00:00:00.000Z,Turndown,2014-09-23T00:00:00.000Z,0,0,1,1,2014080401,2014-07-28T00:00:00.000Z,6d1ce152-f253-494b-9b16-233fa9714d68
